Título,Duración,Dificultad,Ingredientes
Pasta con brócoli y champiñones,35min,fácil,"['Chalotes', 'Ajo', 'Mantequilla', 'CaldoDeVerduras', 'NataLíquida', 'Queso', 'Fundir', 'NuezMoscada', 'EspiralesDePasta', 'Champiñones', 'Brócoli', 'Ramitos', 'Sal', 'Pimienta', 'Parmesano']"
Risotto de rúcula,33min,fácil,"['Chalotes', 'Ajo', 'AceiteDeOliva', 'Arroz', 'Risotto', 'CaldoDeVerduras', 'Nueces', 'Lechuga', 'QuesoDeCabra', 'Pimienta', 'Sal', 'ZumoDeLimón']"
Quiche lorraine,2h 55min,medio,"['HarinaDeRepostería', 'Mantequilla', 'Aceite', 'Huevos', 'Sal', 'Perejil', 'Emmental', 'JamónCocido', 'Puerros', 'Aceite', 'Panceta', 'CremaDe', 'NataAgria', 'Huevos', 'Sal', 'Pimienta', 'NuezMoscada', 'Harina', 'Vegetal', 'Del', 'Horno', 'LegumbresBlanco']"
Risotto de setas con parmesano,37min,fácil,"['Perejil', 'Parmesano', 'Setas', 'Chalote', 'Ajo', 'Mantequilla', 'Arroz', 'Risotto', 'CaldoDePollo', 'Verduras', 'Tomillo', 'GuindillaMolida', 'ZumoDeLimón', 'Sal', 'Pimienta']"
Pizza margarita clásica,1h 30min,fácil,"['Pizzas', 'Azúcar', 'Levadura', 'HarinaDeRepostería', 'AceiteDeOliva', 'Sal', 'TomateTriturado', 'Tomate', 'Hojitas', 'Orégano', 'Sal', 'Pimienta', 'Azúcar', 'Mozzarella', 'AceiteDeOliva', 'Harina']"
Albóndigas de salmón con salsa rémoulade y patatas,1h 12min,medio,"['Perejil', 'Cebolla', 'Pepinillos', 'Alcaparras', 'Huevo', 'ZumoDeLimón', 'Mostaza', 'Sal', 'Azúcar', 'Pimienta', 'AceiteDeGirasol', 'LomoDeSalmón', 'Eneldo', 'Huevo', 'Yema', 'Huevo', 'NataAgria', 'PanRallado', 'ZumoDeLimón', 'Sal', 'Pimienta', 'Patatas', 'AceiteDeGirasol']"
Rollitos con pechuga de pollo,1h 9min,medio,"['Las', 'Tortillas', 'HarinaDeRepostería', 'AceiteDeGirasol', 'Sal', 'Guacamole', 'Tomate', 'Cebolla', 'Ajo', 'Aguacate', 'Lima', 'Harissa', 'Sal', 'Pimienta', 'PechugaDePollo', 'Pimentón', 'Sal', 'Pimienta', 'Ensalada', 'TomatesCherry', 'Harina', 'Superficie', 'Trabajo']"
Pollo al estilo toscano con arroz,47min,fácil,"['AceiteDeOliva', 'PechugaDePollo', 'Cdtas.', 'HierbasAromáticas', 'Sal', 'Pimienta', 'Tomates', 'Mozzarella', 'Chalotes', 'Tomate', 'Arroz', 'CaldoDeVerduras', 'Tomate', 'Pizza', 'NataLíquida', 'Maicena', 'Albahaca', 'Aceite']"
Bocaditos de pollo con salsa de miel y mostaza,28min,medio,"['Hojuelas', 'Maíz', 'Nata', 'MostazaPicante', 'Miel', 'VinagreDeManzana', 'Sal', 'Pimienta', 'PechugaDePollo', 'HarinaDeRepostería', 'Huevos', 'Aceite']"
Pollo relleno con patatas,1h 40min,medio,"['Pollo', 'Máx.', 'Sal', 'Pimienta', 'Apio', 'Zanahoria', 'Cebolleta', 'Perejil', 'Ajo', 'AceiteDeOliva', 'Miel', 'Cdtas.', 'Pimentón', 'Patatas']"
Pollo con hierbas y limón,30min,fácil,"['Hierbas', 'Limón', 'CaldoDeVerduras', 'PechugaDePollo', 'Sal', 'Calabacín', 'PimientoRojoAmarillo', 'Ajo', 'Zúcar', 'Pimienta']"
Fricasé cremoso de pollo con arroz,40min,fácil,"['Arroz', 'Laurel', 'CaldoDeGallina', 'PechugaDePollo', 'Pimienta', 'Sal', 'Cebolla', 'Mantequilla', 'HarinaDeRepostería', 'Alcaparras', 'NataLíquida', 'ZumoDeLimón']"
Albóndigas con salsa de tomate,35min,fácil,"['Panecillos', 'Pan', 'Leche', 'CarnePicada', 'Huevo', 'Mostaza', 'Sal', 'Pimienta', 'Pimentón', 'Chalote', 'Ajo', 'AceiteDeOliva', 'Tomate', 'Pizza', 'CaldoDeVerduras', 'Orégano', 'Mejorana', 'Tomillo', 'Azúcar', 'Pan', 'Barra']"
Espaguetinis con albóndigas,53min,medio,"['Ajo', 'Cebollas', 'Guindilla', 'AceiteDeOliva', 'Tomate', 'Pizza', 'Sal', 'Pimienta', 'PimentónPicante', 'CarnePicada', 'Cordero', 'CarnePicadaDeTernera', 'Huevo', 'PanRallado', 'CayenaMolida', 'Guisantes', 'Espaguetinis', 'Salvia', 'Aceite']"
Minipizzas con base de coliflor,55min,fácil,"['Chalote', 'Ajo', 'Tomate', 'Orégano', 'Pimienta', 'Sal', 'Lechuga', 'Cebolla', 'AceitunasNegras', 'Parmesano', 'JamónSerrano', 'Las', 'Parmesano', 'Coliflor', 'HarinaDeRepostería', 'Huevos', 'Sal']"
Asado de carne picada con salsa de pimiento,1h 18min,medio,"['Parmesano', 'Chalotes', 'Perejil', 'PanRallado', 'CarnePicada', 'Huevos', 'Sal', 'Pimienta', 'PimentónDulce', 'Lechuga', 'Ajo', 'Cebollas', 'PimientosRojos', 'AceiteDeOliva', 'Tomate', 'Pizza', 'CaldoDeVerduras', 'Azúcar', 'Zanahorias', 'Aceite']"
Sopa de patata con perejil,56min,medio,"['Perejil', 'Cebollas', 'Mantequilla', 'Patatas', 'Hortalizas', 'Caldo', 'CaldoDeVerduras', 'MejoranaPicada', 'NataAgria', 'Sal', 'Pimienta']"
Sopa de cebolla,51min,fácil,"['Emmental', 'Perejil', 'Cebollas', 'Ajo', 'Mantequilla', 'CaldoDeCarne', 'TomilloPicado', 'OréganoPicado', 'Sal', 'Pimienta', 'PanBlanco']"
Minestrone,39min,fácil,"['Parmesano', 'CebollasDulces', 'Ajo', 'Panceta', 'Mantequilla', 'Patata', 'Zanahoria', 'Tomates', 'Calabacín', 'JudíasVerdes', 'Apio', 'CaldoDeVerduras', 'Tomate', 'Espaguetis', 'Sal', 'Pimienta', 'AceiteDeOliva', 'Rociar']"
Crema de calabaza,47min,fácil,"['Cebollas', 'Ajo', 'Calabaza', 'Mantequilla', 'Cdtas.', 'AzúcarMoreno', 'Sal', 'Pimienta', 'Canela', 'NuezMoscada', 'CaldoDeVerduras', 'NataLíquida', 'ZumoDeLimón', 'Nata', 'Montada', 'Aceite', 'PipasDeCalabaza']"
Crema de hortalizas,50min,fácil,"['Hortalizas', 'Sopa', 'Patatas', 'Tomate', 'Cebolla', 'Ajo', 'Perejil', 'Sal', 'Pimienta', 'Mantequilla']"
Sopa de tomate y panceta con mozzarella rebozada,1h 6min,fácil,"['Sopa', 'Panceta', 'AceiteDeOliva', 'Cebollas', 'Ajo', 'Tomates', 'Carnosos', 'Tomate', 'CaldoDeVerduras', 'Nata', 'Sal', 'Pimienta', 'Mozzarella', 'Mozzarella', 'Sal', 'Pimienta', 'HarinaDeRepostería', 'PanRallado', 'Huevos', 'Aceite']"
Sopa de tomate,29min.,fácil,"['Pessoas', 'Porções', 'Gerais', 'Cebola', 'Dente', 'Alho', 'C.', 'Sopa', 'Azeite', 'C.', 'Sopa', 'Molho', 'Tomate', 'C.', 'Chá', 'Açúcar', 'Tomates', 'Cereja', 'Tomates', 'Em', 'Pedaços', 'C.', 'Chá', 'Caldo', 'Legumes', 'Em', 'Pó', 'C.', 'Chá', 'Orégãos', 'C.', 'Chá', 'Sal', 'C.', 'Chá', 'Pimenta', 'Ainda', 'Folhas', 'Manjericão', 'C.', 'Chá', 'Crème', 'Fraîche', 'AdicionarÀ', 'Lista', 'Compras']"
Confitura de guindas,45min,fácil,"['Guindas', 'Vainilla', 'Azúcar', 'ZumoDeLimón']"
Crema de chocolate y avellana,57min,fácil,"['AvellanasPraliné', 'Avellanas', 'NataLíquida', 'Mantequilla', 'AzúcarAvainillado', 'Cacao', 'Sal']"
Crema de salmón con ensalada,1h 15min,fácil,"['Salmón', 'Mantequilla', 'LomoDeSalmón', 'Eneldo', 'SalmónAhumado', 'CremaDe', 'RábanoPicante', 'ZumoDeLimón', 'Pimienta', 'Ensalada', 'Lollo', 'Bionda', 'Lechuga', 'Hoja', 'Roble', 'Lechuga', 'VinagreDeFruta', 'Mostaza', 'AceiteDeOliva', 'Miel', 'Pimienta', 'Sal', 'Tostaditas']"
Hummus,10min,fácil,"['Naranja', 'Perejil', 'Garbanzos', 'Tahín', 'CaldoDeVerduras', 'ZumoDeLimón', 'AceiteDeOliva', 'Más', 'Rociar', 'Sal', 'Pimienta', 'Comino']"
Pesto de rúcula,5min,fácil,"['Ajo', 'Lechuga', 'Parmesano', 'Piñones', 'AceiteDeOliva', 'Sal', 'Pimienta']"
Pesto rojo con frutos secos,5min,fácil,"['Parmesano', 'Piñones', 'Nueces', 'Ajo', 'Tomates', 'AceiteDeOliva', 'Aceite']"
Mantequilla a las hierbas,10min,fácil,"['Mantequilla', 'Perejil', 'Cebollino', 'Ajo', 'Sal', 'Pimienta']"
Tzatziki,10min,fácil,"['Ajo', 'Pepino', 'Queso', 'Quark', 'YogurGriego', 'NataAgria', 'Sal', 'Pimienta']"
Guacamole,5min,fácil,"['Tomate', 'Cebolla', 'Ajo', 'Aguacate', 'Lima', 'Harissa', 'Sal', 'Pimienta']"
Alioli,5min,fácil,"['Ajo', 'Huevo', 'ZumoDeLimón', 'Mostaza', 'Sal', 'Pimienta', 'AceiteDeGirasol', 'Oliva']"
Salsa rémoulade,15min,fácil,"['Perejil', 'Cebolla', 'Pepinillo', 'Alcaparras', 'Huevo', 'ZumoDeLimón', 'MostazaDeDijon', 'Sal', 'Azúcar', 'Pimienta', 'AceiteDeGirasol', 'Huevo']"
Mayonesa,40min,fácil,"['Huevos', 'Cdtas.', 'ZumoDeLimón', 'Cdtas.', 'Mostaza', 'Sal', 'Pimienta', 'Azúcar', 'AceiteDeGirasol']"
Ñoquis caseros,4h 44min,difícil,"['Sal', 'Patatas', 'Yemas', 'HarinaDeRepostería', 'Pimienta', 'NuezMoscada', 'Harina']"
Masa para pasta,1h 33min,fácil,"['HarinaDeRepostería', 'SémolaDeTrigo', 'Fina', 'Sal', 'AceiteDeOliva', 'Harina']"
Gofres,30min,fácil,"['Mantequilla', 'Azúcar', 'Sal', 'Huevos', 'SueroDeMantequilla', 'HarinaDeRepostería', 'Levadura', 'Aceite']"
Base de bizcocho,1h,fácil,"['Mantequilla', 'Azúcar', 'Sal', 'AzúcarAvainillado', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'Mantequilla', 'Harina']"
Hojaldre,3h 20min,medio,"['HarinaDeRepostería', 'Mantequilla', 'Sal', 'Azúcar', 'Harina']"
Chili con carne,1h 22min,fácil,"['Cebollas', 'Ajo', 'AceiteVegetal', 'CarnePicada', 'Tomate', 'Tomate', 'Cdtas.', 'Sal', 'Pimienta', 'Cdtas.', 'Pimentón', 'Maíz', 'AlubiasCocidas', 'Cdtas.S', 'CominoMolido', 'Tabasco']"
Espaguetis a la boloñesa con parmesano,1h 43min,fácil,"['Parmesano', 'Cebollas', 'Ajo', 'Zanahorias', 'Apio', 'AceiteDeOliva', 'CarnePicada', 'Panceta', 'CaldoDeVerduras', 'Carne', 'Cdtas.', 'Azúcar', 'Tomate', 'Tomate', 'Pizza', 'Cdtas.', 'Pimentón', 'Canela', 'Pimienta', 'Hojitas', 'Tomillo', 'Sal', 'Espaguetis']"
Pinchitos de gambas y chorizo,30min,fácil,"['Pinchitos', 'Orégano', 'Pimentón', 'Pimienta', 'Tomillo', 'Cayena', 'Comino', 'AceiteDeOlivaAmbas', 'Chorizo', 'Aguacate', 'Ajo', 'Chalote', 'Aguacate', 'Zumo', 'Lima', 'TomatesCherry', 'Sal', 'Pimienta']"
Tortitas de calabacín y zanahoria,30min,fácil,"['Yogur', 'ZumoDeLimón', 'HierbasVariadasPicadas', 'Sal', 'Pimienta', 'Cilantro', 'Calabacín', 'Zanahorias', 'Huevos', 'HarinaDeRepostería', 'Aceite']"
Masa de levadura salada,35min,fácil,"['Levadura', 'Leche', 'Levadura', 'Levadura', 'Azúcar', 'Mantequilla', 'Huevo', 'HarinaDeRepostería', 'Sal']"
Bizcocho genovés,55min,fácil,"['Huevos', 'Azúcar', 'AzúcarAvainillado', 'HarinaDeRepostería', 'Maicena', 'Sal', 'Mantequilla', 'Azúcar']"
Masa quebrada,1h 15min,fácil,"['Mantequilla', 'Azúcar', 'Sal', 'Huevo', 'HarinaDeRepostería', 'Mantequilla', 'Harina', 'LegumbresBlanco', 'Si', 'Fuera', 'Necesario']"
Salsa de perejil,16min,fácil,"['Mantequilla', 'HarinaDeRepostería', 'CaldoDeVerduras', 'Nata', 'ZumoDeLimón', 'Perejil', 'Sal', 'Pimienta']"
Salsa de mostaza,21min,fácil,"['Mantequilla', 'HarinaDeRepostería', 'Leche', 'Mostaza', 'Sal', 'Pimienta', 'NuezMoscada', 'ZumoDeLimón']"
Salsa bearnesa,51min,fácil,"['Mantequilla', 'Chalote', 'Caldo', 'Gallina', 'VinagreDeManzana', 'Estragón', 'Pimienta', 'YemaDeHuevo', 'CayenaMolida', 'Perejil', 'Perifollo', 'Sal', 'Pimienta']"
Salsa holandesa,1h 4min,fácil,"['Mantequilla', 'Yemas', 'CaldoDeAve', 'VinoBlanco', 'Sal', 'Pimienta', 'Cayena', 'ZumoDeLimón']"
Salsa de nata,20min,fácil,"['Cebolla', 'Mantequilla', 'HarinaDeRepostería', 'Tomate', 'Ternera', 'NataLíquida', 'SalsaWorcestershire', 'Sal', 'Pimienta']"
Salsa blanca básica,20min,fácil,"['Mantequilla', 'HarinaDeRepostería', 'CaldoDeVerduras', 'Sal', 'Pimienta']"
Concentrado de caldo de ave,55min,fácil,"['Carne', 'Pollo', 'Cebolla', 'Zanahoria', 'Apio', 'Raíz', 'Perejil', 'Puerro', 'HierbasAromáticas', 'Mejorana', 'Pimienta', 'Blanca', 'Majada', 'Sal', 'AceiteDeGirasol']"
Suflés de patata con ensalada de espinacas,1h 7min,medio,"['Suflés', 'Huevos', 'Parmesano', 'Patatas', 'Mantequilla', 'Maicena', 'JamónCurado', 'Sal', 'Pimienta', 'Blanca', 'NuezMoscada', 'Ensalada', 'Espinacas', 'AceiteVegetal', 'QuesoAzul', 'VinagreDeFruta', 'VinagreDeManzana', 'Zumo', 'Manzana', 'Sal', 'Pimienta', 'Almendra']"
Gratinado de coliflor,43min,fácil,"['Gruyer', 'Coliflor', 'Mantequilla', 'HarinaDeRepostería', 'Maicena', 'NataLíquida', 'Leche', 'NuezMoscada', 'Sal', 'Pimienta', 'Blanca']"
Concentrado de caldo de buey,55min,fácil,"['Carne', 'Magra', 'Buey', 'Tomates', 'Cebolla', 'Zanahoria', 'Apio', 'Raíz', 'Perejil', 'Puerro', 'Ajo', 'HierbasAromáticas', 'Tomillo', 'Pimienta', 'Majada', 'Sal', 'VinoTinto', 'CaldoDeCarne', 'AceiteDeOliva']"
Gratinado de patata,1h 10min,fácil,"['QuesoEmmental', 'Patatas', 'Ajo', 'Chalotes', 'NataLíquida', 'CaldoDeVerduras', 'Pimienta', 'Sal', 'NuezMoscada', 'Rallada', 'HojaDeLaurel', 'Mantequilla']"
Granola de coco y almendra,1h 18min,fácil,"['Anacardos', 'Almendras', 'Avena', 'Cebada', 'Quinoa', 'Quinoa', 'Inflada', 'Coco', 'PipasDeGirasol', 'AceiteDeCoco', 'JarabeDeArce', 'SiropeDeAgave', 'Cardamomo']"
Ensalada de brócoli,10min,fácil,"['Brócoli', 'PimientoRojo', 'Piñones', 'VinagreDeManzana', 'AceiteDeOliva', 'JarabeDeArce', 'Mostaza', 'Sal', 'Pimienta']"
Ensalada de hortalizas con aliño de mostaza,15min,fácil,"['Cdtas.', 'MostazaPicante', 'VinagreBalsámico', 'AceiteDeGirasol', 'Cdtas.', 'SiropeDeAgave', 'Sal', 'Pimienta', 'Zanahorias', 'Colinabo', 'Hinojo']"
Sopa de arroz y pollo con espinacas,56min,fácil,"['Chalotes', 'Ajo', 'AceiteDeOliva', 'PechugaDePollo', 'PimientaMolida', 'Pimienta', 'CaldoDeVerduras', 'HojaDeLaurel', 'Sal', 'Arroz', 'Risotto', 'Espinacas', 'ZumoDeLimón', 'Albahaca']"
Concentrado de caldo de verduras,35min,fácil,"['Ajo', 'Tomates', 'Cebolla', 'Zanahoria', 'Apio', 'Raíz', 'Perejil', 'Puerro', 'HierbasAromáticas', 'Orégano', 'Mejorana', 'Pimienta', 'Majada', 'Sal', 'CaldoDeVerduras', 'AceiteDeOliva']"
Tortitas de patata,25min,fácil,"['Patatas', 'Cebollas', 'Maicena', 'Sal', 'Pimienta', 'Huevos', 'Aceite']"
Puré de patata,25min,fácil,"['Patatas', 'Leche', 'Mantequilla', 'NuezMoscada', 'Pimienta', 'Sal']"
Cocer patatas,25min,fácil,"['Patatas', 'Sal', 'Alcaravea']"
Cocer arroz,35min,fácil,"['Arroz', 'Vaporizado', 'Sal', 'Mantequilla']"
Azúcar avainillado,10min,fácil,"['Vainilla', 'Azúcar']"
Sopa tailandesa al curry,49min,medio,"['Jengibre', 'Ajo', 'Limoncillo', 'Setas', 'Shiitake', 'Zanahorias', 'TomatesCherry', 'PechugaDePollo', 'AceiteDeCoco', 'Cdtas.', 'Pasta', 'Curry', 'Tailandesa', 'LecheDeCoco', 'CaldoDeVerduras', 'Sal', 'Pimienta', 'Maicena']"
Hamburguesa mediterránea con relish de pimiento,1h 10min,medio,"['Relish', 'PimientosRojos', 'Ajo', 'Cebolla', 'Aceite', 'Pimentón', 'VinagreDeManzana', 'Azúcar', 'Sal', 'Pimienta', 'Cebolla', 'Pan', 'Leche', 'Tibia', 'Calabacín', 'CarnePicadaDeTernera', 'Huevos', 'Pimentón', 'Orégano', 'Sal', 'PimientaMolida', 'Panecillos', 'Panecillos', 'Guarnición', 'Lechuga', 'Tomate', 'CarnosoFeta', 'Pimienta', 'Aceitunas', 'Kalamata']"
Potaje de judías pintas y pasta,43min,fácil,"['Romero', 'Panceta', 'Cebolla', 'Ajo', 'Aceite', 'Tallo', 'Apio', 'Zanahoria', 'CaldoDeCarne', 'Verduras', 'JamónCurado', 'TomateTriturado', 'Judías', 'Pintas', 'Pasta', 'Corta', 'Sal', 'PimientaCon', 'Gusto']"
Gulash clásico,2h 1min,fácil,"['Cebollas', 'Ajos', 'AceiteVegetal', 'Carne', 'Ternera', 'Guisar', 'Tomates', 'VinoTinto', 'Tomate', 'Sal', 'Azúcar', 'PimentónDulce', 'PimentónPicante', 'Alcaravea', 'Mejorana', 'Laurel', 'Enebrinas', 'ClavoMolido', 'Limón', 'CaldoDeCarne', 'HarinaDeRepostería', 'PimientosRojos']"
Tortilla de champiñones con hierbas y queso fresco de cabra,25min,fácil,"['Champiñones', 'Perejil', 'Eneldo', 'Huevos', 'Leche', 'Sal', 'Pimienta', 'NuezMoscada', 'QuesoDeCabra', 'Cebollino']"
Desayuno del campesino (desayuno tradicional alemán),37min,fácil,"['Cebollas', 'Panceta', 'Leche', 'Huevos', 'Sal', 'Pimienta', 'Patatas', 'TomatesCherry', 'Pepinillos', 'Cebollino']"
Bizcocho de chocolate relleno con crema de mascarpone (bajo en hidratos de carbono),4h 5min,medio,"['ChocolateNegro', 'AceiteDeCoco', 'Huevos', 'AzúcarDeAbedul', 'HarinaDeArroz', 'GomaDeGarrofín', 'Bicarbonato', 'Gelatina', 'QuarkDesnatado', 'Vainilla', 'Mascarpone', 'AzúcarDeAbedul', 'Mantequilla', 'PanRallado']"
Ñoquis a los cuatro quesos,9h 5min,difícil,"['Sal', 'Patatas', 'YemaDeHuevo', 'HarinaDeRepostería', 'Pimienta', 'NuezMoscada', 'Rallada', 'Salsa', 'Queso', 'Provolone', 'Parmesano', 'Taleggio', 'Gorgonzola', 'CaldoDeVerduras', 'Pimienta', 'NataLíquida', 'HarinaDeRepostería']"
Chiacchiere,50min,fácil,"['Huevo', 'Azúcar', 'Mantequilla', 'Sal', 'HarinaDeRepostería', 'Harina', 'AceiteVegetal', 'AzúcarGlas']"
Solomillo de cordero al vacío con berenjenas y tomates cherry,2h 40min,medio,"['SolomillosDeCordero', 'AceiteDeOliva', 'SemillasDeHinojo', 'SemillasDeCilantro', 'Sal', 'Pimienta', 'Salvia', 'Tomillo', 'Laurel', 'PerejilPicado', 'Berenjenas', 'Sal', 'Pimienta', 'AceiteDeOliva', 'Albahaca', 'Tomates', 'Aceite', 'Romero', 'Salvia', 'TomatesCherry', 'Ajo', 'AceiteDeOliva']"
*Limpieza,2min,fácil,"['Lavado', 'Agua', 'Gota', 'Lavavajillas']"
Merluza marinada con patatas al limón y cilantro 26905,1h 25min,medio,"['Pescado', 'Merluza', 'Cilantro', 'Guindilla', 'Ajo', 'Jengibre', 'Limón', 'AceiteDeOliva', 'SemillasDeCilantroMolidas', 'Patatas', 'Sal', 'ZumoDeLimón', 'Horno', 'ZumoDeLimón', 'Sal', 'Limón']"
Huevos fritos dulces,53min,fácil,"['Huevos', 'Azúcar', 'AzúcarAvainillado', 'HarinaDeRepostería', 'Maicena', 'Sal', 'Azúcar', 'ZumoDeLimón', 'Albaricoques']"
Muffins de pasta con verduras,55min,fácil,"['Pasta', 'QuesoGouda', 'Zanahoria', 'Calabacín', 'AceiteDeOliva', 'JamónCocido', 'Tomate', 'Nata', 'Huevos', 'HierbasAromáticasPicadas', 'Sal', 'Pimienta', 'Aceite', 'Mantequilla']"
Receta básica de muffins,35min,fácil,"['Mantequilla', 'Azúcar', 'Huevos', 'SueroDeMantequilla', 'HarinaDeRepostería', 'Levadura', 'Sal', 'Magdalenas']"
Pan para tostadas,1h 15min,fácil,"['Pan', 'Mantequilla', 'Yogur', 'VinagreDeVinoBlanco', 'CáscaraDePsyllium', 'Huevos', 'HarinaDeAlmendra', 'Levadura', 'Sal', 'Mantequilla']"
Bastoncitos picantes de zanahoria con salsa para mojar,45min,fácil,"['Calabaza', 'Maicena', 'RasElHanout', 'Guindilla', 'Sal', 'AceiteDeOliva', 'PanRallado', 'Parmesano', 'Perejil', 'Naranja', 'Quark', 'NataAgria', 'Pimienta']"
MONSIERU CUISINE ÉDITION PLUS Huevos revueltos al vapor,27min,fácil,"['Emmental', 'Chalotes', 'AceiteDeOliva', 'TomatesCherry', 'Huevos', 'Leche', 'Pimienta', 'Sal', 'CebollinoPicado', 'Aceite']"
"Puré de patata con carne, col de Milán y salsa de panceta",1h,fácil,"['Col', 'Patatas', 'CaldoDeVerduras', 'Mantequilla', 'Limón', 'NuezMoscada', 'Sal', 'Pimienta', 'Chalotes', 'Panceta', 'Maicena', 'NataLíquida', 'Queso', 'NuezMoscada', 'Tomillo', 'AceiteVegetal', 'CarnePicadaDeTernera']"
Muslos de pollo con marinada picante de tomate y pimiento,2h 38min,fácil,"['Chalotes', 'AceiteDeCacahuete', 'Azúcar', 'Tomate', 'Orégano', 'ZumoDeLimón', 'CebollaMolida', 'PimentónAhumado', 'GuindillaMolida', 'Sal', 'MuslitosDePollo', 'Muslos']"
Granizado de frutas,2h 10min,fácil,"['Pomelo', 'Naranjas', 'Lima', 'MelónAmarillo', 'Plátanos', 'Miel']"
Vino caliente especiado,1h 23min,fácil,"['Naranjas', 'ZumoDeManzana', 'Anís', 'Canela', 'Clavos', 'CardamomoVerde', 'AzúcarMoreno', 'VinoBlanco', 'Miel']"
Salami de chocolate,2h 10min,fácil,"['FrutosVariados', 'ChocolateNegro', 'Naranja', 'Mantequilla', 'GalletasDeMantequilla', 'ChocolateBlanco', 'AzúcarGlas']"
"Patatas con judías, peras y lomo ahumado",45min,medio,"['Patatas', 'Nuevas', 'JudíasVerdes', 'Pera', 'FirmesDeCerdoAhumado', 'Cebolla', 'CaldoDeCarne', 'Pimienta', 'Sal', 'Ajedrea', 'MostazaDeDijon']"
Pechuga de pollo con pasta en salsa de tomate y nata,32min,fácil,"['Parmesano', 'Cebolla', 'Ajo', 'PechugaDePollo', 'AceiteDeOliva', 'Panceta', 'Champiñones', 'TomatesCherry', 'CaldoDePollo', 'TomateTriturado', 'NataLíquida', 'Tomate', 'Sal', 'Pimienta', 'Azúcar', 'PastaDeTrigo']"
Tortitas de patata y hortalizas,35min,fácil,"['Patatas', 'Apionabo', 'Zanahorias', 'Cebollas', 'Calabacín', 'Huevos', 'Harina', 'Sal', 'Pimienta', 'Hojitas', 'Tomillo', 'Mantequilla', 'Salsa', 'Cebolla', 'Ajo', 'Yogur', 'Nata', 'Sal', 'Pimienta']"
Albóndigas de patata rellenas en salsa de panceta,2h 53min,medio,"['Patatas', 'Sal', 'Puerro', 'CarnePicada', 'Pimienta', 'YemaDeHuevo', 'AlmidónDePatata', 'Salsa', 'Pancenta', 'Panceta', 'Cebolla', 'Mantequilla', 'NataLíquida', 'Harina', 'Sal', 'Pimienta', 'Perejil', 'Harina']"
Crema de berenjena con cilantro,50min,fácil,"['AceiteVegetal', 'Berenjenas', 'Tomates', 'Ajo', 'Albahaca', 'Cilantro', 'Cebolla', 'YogurGriego', 'Limón', 'Sal', 'Pimienta']"
Batido de rúcula con aguacate y bayas de goji,40min,fácil,"['BayasDeGojiDeshidratadas', 'Lechuga', 'UvasBlancas', 'Semillas', 'Aguacate', 'Limas']"
Tallarines de calabacín con almejas,47min,medio,"['Almejas', 'Calabacín', 'TomatesCherry', 'Sal', 'Pimienta', 'Guindilla', 'Perejil', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'CaldoDeVerduras', 'Espiralizador', 'Hortalizas']"
Mayonesa vegana de almendra,10min,fácil,"['CremaDeAlmendras', 'AceiteVegetal', 'Sal', 'Mostaza', 'ZumoDeLimón']"
Rollitos gratinados de endibia y jamón con patatas,1h 13min,fácil,"['Queso', 'Edam', 'Patatas', 'CaldoDeVerduras', 'Endibias', 'Sal', 'Finas', 'JamónCocido', 'Mantequilla', 'HarinaDeRepostería', 'NataLíquida', 'Sal', 'Pimienta', 'NuezMoscada', 'Mantequilla']"
Torta Margherita,55min,fácil,"['Mantequilla', 'Azúcar', 'Huevos', 'Sal', 'Limón', 'YemaDeHuevo', 'HarinaDeRepostería', 'Fécula', 'Patata', 'Levadura', 'Mantequilla', 'AzúcarGlas']"
Bizcocho de avellana,1h 10min,fácil,"['Avellanas', 'Mantequilla', 'Azúcar', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'Leche', 'Ron', 'Mantequilla', 'PanRallado']"
Boloñesa de lentejas con pasta,47min,fácil,"['Lentejas', 'Perejil', 'Cebolla', 'Ajo', 'Zanahoria', 'AceiteDeOliva', 'Lentejas', 'CaldoDeVerduras', 'Tomate', 'Cebolletas', 'NataLíquida', 'Azúcar', 'Orégano', 'Tomillo', 'Mejorana', 'Sal', 'Pimienta', 'VinagreBalsámico', 'Parmesano', 'Pasta']"
Salmón marinado con ajo y limón,2h 20min,fácil,"['Perejil', 'Ajo', 'Jengibre', 'Miel', 'AceiteDeOliva', 'ZumoDeLimón', 'Sal', 'Pimienta', 'Salmón']"
Bacalao con pimiento y tomates,35min,fácil,"['Chalotes', 'Perejil', 'PimientosRojos', 'TomatesCherry', 'AceitunasVerdes', 'Tomillo', 'Sal', 'Pimienta', 'Lima', 'AceiteDeOliva', 'Bacalao', 'CaldoDeVerduras']"
Chupito de jengibre con manzana y naranja,15min,fácil,"['Jengibre', 'Manzana', 'Naranjas', 'Limón', 'CúrcumaMolida', 'Pimienta', 'Miel']"
Ensalada de coles de Bruselas con nueces y parmesano,45min,fácil,"['Parmesano', 'ColesDeBruselas', 'Manzana', 'VinagreDeVinoBlanco', 'AceiteDeOliva', 'Sal', 'FlorDeSal', 'Pimienta', 'Nueces']"
